City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Max Temp,Wind Speed,lng
307,khatanga,88,RU,1542486944,80,71.98,4.06,8.84,102.47
308,bilibino,8,RU,1542487241,70,68.06,-37.16,2.13,166.44
309,pocone,68,BR,1542487241,65,-16.26,89.29,7.83,-56.62
310,lompoc,1,US,1542484680,65,34.64,71.6,10.29,-120.46
311,aykhal,32,RU,1542487241,32,65.95,-23.21,2.68,111.51
312,desaguadero,44,PE,1542487242,29,-16.56,64.5,3.24,-69.04
313,rabo de peixe,40,PT,1542484800,71,37.8,55.4,8.05,-25.58
314,rundu,92,NA,1542487242,18,-17.91,81.1,7.72,19.77
315,tazovskiy,68,RU,1542487242,97,67.47,11.4,19.01,78.7
316,avera,1,US,1542484500,48,33.19,64.94,4.7,-82.53
317,mehamn,75,NO,1542484200,59,71.03,37.4,17.22,27.85
318,hildburghausen,0,DE,1542484200,100,50.43,30.2,3.36,10.73
319,tuatapere,92,NZ,1542487244,100,-46.13,45.19,19.24,167.69
320,bathsheba,40,BB,1542484800,70,13.22,84.2,17.22,-59.52
321,anadyr,90,RU,1542484800,85,64.73,10.4,15.66,177.51
322,banda aceh,48,ID,1542487244,100,5.56,73.72,1.9,95.32
323,castro,76,CL,1542487245,80,-42.48,54.19,7.72,-73.76
324,san patricio,100,PY,1542487245,90,-26.98,79.21,5.37,-56.83
325,reconquista,48,AR,1542487245,89,-29.14,81.19,5.59,-59.64
326,kyren,0,RU,1542487246,30,51.68,-24.07,2.01,102.13
327,lebu,20,ET,1542484800,82,8.96,55.4,4.7,38.73
328,adre,12,TD,1542487246,47,13.47,65.44,5.59,22.2
329,port-gentil,40,GA,1542484800,83,-0.72,82.4,8.05,8.78
330,tecoanapa,5,MX,1542484260,66,16.99,86.0,6.93,-99.26
331,tracy,90,US,1542484560,43,37.74,62.6,5.82,-121.43
332,damghan,0,IR,1542487247,83,36.17,37.81,3.13,54.34
333,taltal,0,CL,1542487248,66,-25.41,70.35,4.25,-70.49
334,tirumullaivasal,24,IN,1542487248,92,11.24,78.31,1.01,79.84
335,coquimbo,0,CL,1542484800,53,-29.95,71.6,18.34,-71.34
336,moerai,88,PF,1542487249,98,-22.43,76.83,19.91,-151.33
337,kloulklubed,92,PW,1542487249,100,7.04,79.39,15.21,134.26
338,menongue,44,AO,1542487249,44,-14.66,73.09,5.14,17.68
339,mersing,88,MY,1542487249,97,2.43,78.72,1.68,103.84
340,dundee,75,GB,1542484200,87,56.46,48.2,11.41,-2.97
341,pirai do sul,68,BR,1542487250,66,-24.53,75.93,8.61,-49.95
342,saint-pierre,0,FR,1542484800,70,48.95,44.6,5.82,4.24
343,itoman,40,JP,1542484800,69,26.12,73.4,4.7,127.67
344,agadez,0,NE,1542487251,25,16.97,65.35,7.27,7.99
345,lang son,92,VN,1542487252,98,21.83,68.5,2.91,106.73
346,vysokogornyy,0,RU,1542487252,63,50.1,7.66,8.16,139.13
347,bud,75,NO,1542484200,93,62.91,46.4,2.24,6.91
348,haradok,80,BY,1542487253,97,55.46,31.29,13.42,29.99
349,airai,32,TL,1542487253,89,-8.93,68.5,1.57,125.41
350,bonavista,92,CA,1542486962,100,48.65,36.78,30.76,-53.11
351,tatvan,36,TR,1542487253,82,38.5,26.07,1.34,42.28
352,cabedelo,75,BR,1542484800,65,-6.97,82.4,14.99,-34.84
353,fort morgan,88,US,1542485100,89,40.25,24.8,23.04,-103.8
354,santa barbara,1,US,1542484620,72,34.42,71.6,8.05,-119.7
355,umm lajj,0,SA,1542487255,100,25.02,69.31,4.59,37.27
356,xinan,40,CN,1542486600,83,22.55,73.4,13.87,113.89
357,dunedin,56,NZ,1542487256,100,-45.87,50.59,4.7,170.5
358,shirokiy,68,RU,1542487257,61,53.87,26.2,13.09,39.17
359,dombarovskiy,36,RU,1542487257,82,50.76,16.21,7.61,59.54
360,rio grande,90,BR,1542484800,94,-32.03,68.0,11.41,-52.1
361,nantucket,90,US,1542485700,55,41.28,48.02,11.41,-70.1
362,kungurtug,20,RU,1542487258,75,50.6,-21.55,2.57,97.53
363,salmo,40,CA,1542484800,56,49.19,41.0,8.05,-117.28
364,srednekolymsk,56,RU,1542487259,65,67.46,-14.08,2.57,153.71
365,poronaysk,0,RU,1542487259,94,49.22,21.03,10.96,143.1
366,jinchang,0,CN,1542487259,75,38.52,8.79,2.35,102.19
367,hami,0,CN,1542487259,76,42.84,16.66,7.61,93.51
368,shingu,24,JP,1542487260,100,33.72,61.12,8.16,135.99
369,yarmouth,20,GB,1542484200,81,50.71,44.6,5.82,-1.5
370,bay roberts,90,CA,1542485580,94,47.58,33.8,31.09,-53.28
371,lorengau,44,PG,1542487260,100,-2.02,82.81,6.15,147.27
372,albanel,75,CA,1542484800,58,48.88,26.6,16.11,-72.44
373,honningsvag,12,NO,1542487261,100,70.98,35.34,7.72,25.97
374,hamilton,90,CA,1542486360,97,43.26,37.4,13.87,-79.87
375,mombetsu,76,JP,1542487262,100,44.35,40.51,15.99,143.35
376,santa maria,90,BR,1542484800,94,-29.69,68.0,6.93,-53.81
377,la palma,68,CO,1542487264,90,5.36,75.12,0.89,-74.39
378,gizo,0,IL,1542484200,82,31.8,64.4,1.12,34.94
379,sijunjung,80,ID,1542487265,96,-0.69,69.63,2.24,100.95
380,pevek,68,RU,1542487265,95,69.7,6.72,4.47,170.27
